name,DA,DB,DC,DD,DE,SDA,SDB,SDC,SDD,UI,WW,DA,DC,DD,SDA,SDB,SDC,SDD,UI,WW,lineage
Limnohabitans,0.2055,0.2538,0.03283,0.3314,0.3049,0.0244,0.01699,0.02433,0.7087,0.3297,1.037,0.1041,0.1405,0.09394,0.191,0.1478,0.08783,0.339,0.9545,0.5395,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Hydrogenophaga,0.5243,0.9205,0.5547,0.2483,0.2003,0.3435,0.3528,0.2813,0.4775,0.6698,0.3433,0.2345,0.1956,0.4533,0.1729,0.2662,0.1625,0.2428,0.4116,0.2792,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Acidovorax,5.377,5.833,5.03,2.802,2.13,3.291,3.021,3.091,5.926,3.278,5.015,2.299,2.235,3.693,2.612,3.344,2.403,3.547,5.828,3.843,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Variovorax,2.753,2.3,3.413,1.053,0.8334,1.826,2.247,2.404,2.372,1.857,1.796,1.551,1.271,2.097,1.429,1.69,1.461,1.605,2.447,2.018,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Rhodoferax,0.5993,0.7341,0.6253,0.6799,0.147,0.2677,0.2185,0.2557,0.6406,0.2616,0.4321,0.2535,0.2441,0.4459,0.1993,0.33,0.2819,0.4606,0.7541,0.388,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Polaromonas,0.7685,0.5981,0.4362,0.4825,0.2156,0.406,0.242,0.3107,0.7208,0.4227,0.8166,0.4085,0.4591,0.6324,0.3869,0.5198,0.5796,0.7581,1.149,0.7622,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Comamonas,1.623,1.959,1.462,1.42,0.8963,0.8338,0.7823,0.8368,2.637,1.066,2.275,0.6647,0.8003,0.9797,0.9588,1.029,0.8357,1.372,2.574,1.541,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Delftia,2.91,2.979,2.844,1.42,1.123,1.687,1.714,1.826,2.783,1.838,2.275,1.189,1.206,1.867,1.296,1.637,1.288,1.75,2.816,1.931,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Ottowia,0.03344,0.04843,0.03027,0.02678,0.01843,0.01627,0.01279,0.02053,0.06065,0.01928,0.05634,0.009319,0.01898,0.01678,0.02373,0.02651,0.009993,0.02385,0.07329,0.04724,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Melaminivora,0.1956,0.2034,0.2343,0.08954,0.0605,0.1178,0.151,0.1652,0.1578,0.1494,0.1235,0.06756,0.07226,0.1272,0.08439,0.1111,0.09256,0.1216,0.186,0.1314,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Polynucleobacter,0.2974,5.225,0.1581,12.56,1.93,0.1178,0.06795,0.2408,10.14,0.8777,6.757,0.9059,1.822,1.089,2.025,1.688,1.225,10.11,3.936,4.813,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Burkholderia,3.162,1.848,3.83,1.974,1.191,1.914,5.04,5.171,1.703,1.966,1.445,2.067,1.672,2.293,2.175,2.61,2.406,1.722,1.752,3.062,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Cupriavidus,2.98,1.811,4.015,1.403,0.8762,1.706,3.807,4.093,1.448,1.923,1.169,1.567,1.323,1.966,1.535,1.972,1.793,1.455,1.62,2.319,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Paraburkholderia,0.6679,0.3668,0.8438,0.5762,0.3598,0.4297,0.8968,0.8997,0.451,0.4413,0.4157,0.4325,0.3595,0.462,0.4777,0.5451,0.5044,0.4199,0.4958,0.638,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Ralstonia,1.999,1.234,2.723,1.337,0.7368,1.245,2.495,2.573,1.272,1.313,1.082,1.084,0.9733,1.356,1.185,1.508,1.24,1.004,1.395,1.681,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
